keyword,category,attempt,accepted_index,outcome,title
"coffee","blog",1,1,accepted,"Revitalize Your Day with Our Favorite Coffee Tips"
"coffee","blog",2,2,accepted,"Why Should You Brew Coffee in a Moka Pot?"
"coffee","blog",3,3,accepted,"Breaking Down the Benefits of a Regular Cup of Coffee"
"coffee","blog",4,4,accepted,"From Caffeinated to Blissful: My Coffee Journey"
"coffee","blog",5,5,accepted,"From Dark Roast to Bright Awakening: A Coffee Journey Reversed"
"coffee","blog",6,6,accepted,"Coffee: Ritual or Habit?"
"coffee","blog",7,7,accepted,"Exploring the Mystique of Coffee: From Bean to Brew"
"coffee","blog",8,8,accepted,"Why Coffee Is Your Most Frequent Friend or Foe?"
"coffee","blog",9,9,accepted,"25 Words: 'Crafting the Perfect Cup: A Coffee Lover's Guide to Espresso, Blonde, and Beyond"
"coffee","blog",10,10,accepted,"From Espresso to Cappuccino: My Journey into Coffee"
"coffee","blog",11,11,accepted,"The Unfortunate Truth About Coffee: How It's Making You Feel Crummy"
"coffee","blog",12,12,accepted,"Experience the Buzz: Exploring Coffee's Impact"
"coffee","blog",13,12,duplicate,"Exploring the Rituals and Revelations of Coffee"
"coffee","blog",14,13,accepted,"Is Coffee Making Your Mind Too Clear?"
"coffee","blog",15,14,accepted,"5 cups of coffee: A journey to discover the perfect cup"
"coffee","blog",16,14,duplicate,"From Dark Roast to Warm Comfort: My Journey with Coffee"
"coffee","blog",17,15,accepted,"The Dark Side of Coffee's Bright Flavor"
"coffee","blog",18,16,accepted,"Discover the Benefits of Coffee"
"coffee","blog",19,17,accepted,"Mindfulness Brew: Exploring the Benefits of Coffee"
"coffee","blog",20,18,accepted,"Is Your Coffee Experience Changing Your Day? Discover the Shift!"
"coffee","blog",21,19,accepted,"The Art and Science of Brewing Perfect Cup of Coffee"
"coffee","blog",22,20,accepted,"Crafting the Perfect Cup: My Journey with Coffee"
"coffee","blog",23,21,accepted,"Morning Ritual: Why Caffeine-Free Coffee Is Your Best Boost"
"coffee","blog",24,22,accepted,"Why Good Coffee Makes You Happy"
"coffee","blog",25,23,accepted,"Mindful Brewing: Exploring the Art and Science of Coffee"
"coffee","blog",26,24,accepted,"What's Your Morning Coffee Ritual Like?"
"coffee","blog",27,25,accepted,"Understanding the Impact: Coffee's Influence on Daily Routines"
"coffee","blog",28,25,duplicate,"From Espresso to Cappuccino: A Personal Journey Through Coffee"
"coffee","blog",29,26,accepted,"Contrast Coffee Brews: Discovering Its Healthier Side"
"coffee","blog",30,27,accepted,"Grinding Coffee Into Gold"
"coffee","blog",31,27,duplicate,"Exploring the Art of Brewing: Mastering the Perfect Cup of Coffee"
"coffee","blog",32,27,duplicate,"Why Should You Say No to Coffee?"
"coffee","blog",33,28,accepted,"5 Simple Ways to Brew the Perfect Cup of Coffee"
"coffee","blog",34,29,accepted,"From Brewing to Bittersweet: My Journey with Coffee"
"coffee","blog",35,30,accepted,"From Coffee Addiction to Coffee Freedom"
"coffee","blog",36,30,duplicate,"Crafting the Perfect Cup: Coffee Tips & Techniques"
"coffee","blog",37,31,accepted,"The Myth-Dispelling Guide to Coffee Consumption"
"coffee","blog",38,31,duplicate,"What's Your Secret to Perfect Coffee? Discover the Blend that Sizzles"
"coffee","blog",39,31,duplicate,"5 cups of coffee: The power of caffeine"
"coffee","blog",40,31,duplicate,"From Caffeinated Cravings to Calm Focus: A Journey with Coffee"
"remote work","blog",1,1,accepted,"Exploring the Future of Remote Work: Opportunities and Challenges"
"remote work","blog",2,2,accepted,"Are You Ready for the Future of Remote Work?"
"remote work","blog",3,3,accepted,"Remote Work: A Modern Workforce Revolution"
"remote work","blog",4,4,accepted,"From Desk to Remote: My Adaptation Journey"
"remote work","blog",5,4,duplicate,"Remote Work: Pros and Cons — Which One Fits You?"
"remote work","blog",6,4,duplicate,"Exploring the Future of Remote Work"
"remote work","blog",7,5,accepted,"Thriving in Remote Work: Strategies for Success"
