category,title,words,has_digit,has_colon,in_word_band,shape_ok
blog,"Revitalize Your Morning Brew: The Coffee Ritual Guide",8,0,1,1,1
blog,"Why Does Your Coffee Taste So Strong?",7,0,0,1,1
blog,"How I Found Bliss with My Morning Coffee习惯的小说",8,0,0,1,1
blog,"From Coffee Shop to Espresso Expert: My Journey",8,0,1,1,1
blog,"Contrast Coffee: Brew a Unique Affinity",6,0,1,1,1
blog,"Discover the Art of Brewing: Tips for Perfect Coffee Every Time",11,0,1,1,1
blog,"Why Should You Start Your Day with Coffee?",8,0,0,1,1
blog,"5 Simple Steps to Brew Perfect Coffee",7,1,0,1,1
book,"Remote Revival: Thriving in the New Digital Age",8,0,1,0,1
book,"Is Remote Work Changing Your Life?",6,0,0,1,1
book,"Nomadic Genius: Thriving in Remote Work",6,0,1,1,1
book,"The Freelancer's Journey: Uncovering Success in the Remote World",9,0,1,0,1
book,"Morning Sunsets: Navigating Remote Workday",5,0,1,1,1
book,"Remote Mastery",2,0,0,1,1
book,"Flexibility: Thriving in Remote Work",5,0,1,1,1
book,"4 Remote Thrives",3,1,0,1,1
poem,"Sourdough's Ancient Rise",3,0,0,1,1
poem,"What Does A Sourdough Bread Need?",6,0,0,1,1
poem,"Sourdough's Yeast Journey",3,0,0,1,1
poem,"Crafting Sourdough with Intent",4,0,0,1,1
poem,"Leavened Silence: A Sourdough's Tale",5,0,1,1,0
poem,"The Bread's Evolution",3,0,0,1,1
poem,"Life's Simple Bread",3,0,0,1,1
poem,"Bread's Journey: From Yeast to Fork",6,0,1,1,0
product,"Journey's Brew",2,0,0,1,1
product,"Focus Brew",2,0,0,1,1
product,"Caffeinate Bliss",2,0,0,1,1
product,"CoffeeLover's Bliss",2,0,0,1,1
product,"Coffeetime",1,0,0,1,1
product,"CaffeinateEase",1,0,0,1,1
product,"Caffeinate Spark",2,0,0,1,1
product,"CaffeineCraft",1,0,0,1,1
product,"RiseFresh",1,0,0,1,1
product,"Earthy Brioche",2,0,0,1,1
product,"Sourdough Forge",2,0,0,1,1
product,"Fresh Loaf Bake",3,0,0,1,1
product,"Fresh Start Dough",3,0,0,1,1
product,"SourdoughCraft",1,0,0,1,1
product,"Earthy Rise",2,0,0,1,1
product,"Yeast Dream Bake",3,0,0,1,1
song,"Is Your Coffee Making You Happy?",6,0,0,1,1
song,"The Awakening in Black Coffee",5,0,0,1,1
song,"Morning Revival: Coffee's Instant Escape",5,0,1,1,0
song,"Coffee Dream",2,0,0,1,1
song,"Is Coffee the Buzzkill or Bliss?",6,0,0,1,1
song,"3 Cups of Coffee",4,1,0,1,0
song,"Coffee: From Bean to Espresso",5,0,1,1,0
song,"Is It Coffee That Keeps Me Grounded?",7,0,0,1,1
youtube,"What Are The Top Tools For Remote Work?",8,0,0,1,1
youtube,"Remote Work Revolution: My Journey to a Productive Online Lifestyle",10,0,1,1,1
youtube,"Optimize Productivity: Tips for Remote Work",6,0,1,1,1
youtube,"Transforming Remote Work: Tips for Success",6,0,1,1,1
youtube,"1 Day Transition: How to Work Remote Effectively",8,1,1,1,1
youtube,"From Remote Work Enthusiast to Productivity Pro",7,0,0,1,1
youtube,"From Raring to Restless: Navigating Remote Work's Mind Shift",9,0,1,1,1
youtube,"Mastering Remote Work",3,0,0,0,1

