category,title,words,has_digit,has_colon,in_word_band,shape_ok
blog,"Is Coffee the Fuel You Need for Peak Performance?",9,0,0,1,1
blog,"Crafting the Perfect Cup: Tips for Brewing the Perfect Coffee",10,0,1,1,1
blog,"My Journey with Coffee: From a Cuppa to a Habit",10,0,1,1,1
blog,"The Many Flavors of Coffee – Discovering Your Perfect Blend",10,0,0,1,1
book,"What is the Future of Remote Work?",7,0,0,1,1
book,"Strangers in the City: Remote Workers Shaping the Future",9,0,1,0,1
book,"5 Steps to Remote Success",5,1,0,1,1
book,"The Chronicles of Remote: A Tale of Adaptation",8,0,1,0,1
poem,"From Dough to Toast: Crafting Sourdough Delights",7,0,1,0,0
poem,"30 Minutes to Perfect Sourdough",5,1,0,1,0
poem,"How to Bake Perfect Sourdough",5,0,0,1,1
poem,"The Artisan's Journey to Perfect Sourdough",6,0,0,1,1
product,"Harmony Brew",2,0,0,1,1
product,"Roast & Blend",3,0,0,1,1
product,"Caffeine Bliss",2,0,0,1,1
product,"Zen Brew",2,0,0,1,1
product,"Yeast Odyssey",2,0,0,1,1
product,"Fresh Yeast Journey",3,0,0,1,1
product,"Yeast's Embrace",2,0,0,1,1
product,"SourdoughNest",1,0,0,1,1
song,"3 Coffees of the Day",5,1,0,1,0
song,"Morning Ritual: A Cup Called Coffee",6,0,1,1,0
song,"Why Morning's Muse Should Drink Coffee",6,0,0,1,1
youtube,"Transform Your Remote Work Setup: Tips & Tricks",8,0,1,1,1
youtube,"Optimize Productivity: Tips for Remote Work Success",7,0,1,1,1
youtube,"7 Tips for Thriving in Remote Work",7,1,0,1,1
youtube,"I Spent Two Weeks Solitary in My Home, Then Worked From My Bed",13,0,0,0,1
