category,title,words,has_digit,has_colon,in_word_band,shape_ok
blog,"From Morning Ritual to Health Journey: My Coffee Transformation",9,0,1,1,1
blog,"Is Your Coffee Making You Sweat? Tips for a Cooler Mind",11,0,0,1,1
blog,"The Art of Awakening: Exploring the Ritual of Coffee",9,0,1,1,1
blog,"How Brewing Better Coffee Can Transform Your Morning Routine",9,0,0,1,1
book,"Is Remote Work the Future?",5,0,0,1,1
book,"7 Words in the Future of Remote Work",8,1,0,0,1
book,"The Remote Awakening",3,0,0,1,1
poem,"Why Bread Calls for Sourdough",5,0,0,1,1
poem,"Crafting Sourdough's Sweet Tale",4,0,0,1,1
product,"Caffeine Bliss",2,0,0,1,1
product,"Caffeine Connection",2,0,0,1,1
product,"Caffeinate",1,0,0,1,1
product,"LatteBlend",1,0,0,1,1
product,"Start Your Sourdough Journey",4,0,0,0,1
product,"Fresh Rye Sourdough",3,0,0,1,1
product,"Fresh Yeast Dreams",3,0,0,1,1
product,"Fresh Loaves",2,0,0,1,1
song,"Why Does Coffee Still Evade Me?",6,0,0,1,1
song,"The Sweet Awakening of Morning Coffee",6,0,0,1,1
youtube,"Are You Navigating Remote Work Successfully?",6,0,0,1,1
youtube,"40 Hours of Remote Work Odyssey",6,1,0,1,1
youtube,"Maximize Productivity: Tips for Remote Success",6,0,1,1,1
youtube,"From Remote Startup to Face-to-Face: My Journey with Work from Home",11,0,1,1,1
