keyword,category,attempt,accepted_index,outcome,title
"coffee","youtube",1,1,accepted,"Beyond the Bean: Uncovering the Art of Coffee"
"coffee","youtube",2,2,accepted,"Are You Drinking the Right Kind of Coffee?"
"coffee","youtube",3,3,accepted,"4 Simple Steps to Brew the Perfect Cup of Coffee"
"coffee","youtube",4,4,accepted,"My Day Exploring the Local Coffee Scene"
"coffee","youtube",5,5,accepted,"Is Your Favorite Coffee Recipe a Coffee Myth?"
"coffee","youtube",6,6,accepted,"Is Coffee Good For You?"
"coffee","youtube",7,6,duplicate,"Beyond the Bean: Exploring the Complex World of Coffee"
"coffee","youtube",8,7,accepted,"Is Your Coffee Experience Worth It?"
"coffee","youtube",9,7,duplicate,"4 Simple Tips to Brew the Perfect Cup of Coffee"
"coffee","youtube",10,8,accepted,"Stepping into the Local Cafe: My Coffee Journey"
"coffee","youtube",11,9,accepted,"From Dark Roast to Light: A Coffee Odyssey"
"coffee","youtube",12,9,duplicate,"Beyond the Basics: Exploring Coffee"
"coffee","youtube",13,10,accepted,"From Bean to Cup: Exploring Coffee's Journey"
"coffee","youtube",14,11,accepted,"Is Your Morning Coffee Making You Caffeinated?"
"coffee","youtube",15,11,duplicate,"4 Simple Ways to Improve Your Coffee Drinking Experience"
"coffee","youtube",16,12,accepted,"4 Coffee Cups, 8 Hours, and The Discovery of My Perfect Brew"
"coffee","youtube",17,12,duplicate,"From Bean to Cup: Exploring the Unseen Beauty of Coffee"
"coffee","youtube",18,13,accepted,"Delicious Brews: Coffee Around the World"
"coffee","youtube",19,14,accepted,"Delve into the Flavor: Exploring the World of Coffee"
"coffee","youtube",20,15,accepted,"Is Your Favorite Coffee Supporting Sustainable Practices?"
"coffee","youtube",21,16,accepted,"5 Simple Ways to Upgrade Your Coffee Experience"
"coffee","youtube",22,17,accepted,"Easing into Espresso: My Journey with Hot Coffee"
"coffee","youtube",23,17,duplicate,"From Bean to Cup: Coffee's Enchanted Journey"
"coffee","youtube",24,18,accepted,"The Art of Coffee Roasting"
"coffee","youtube",25,19,accepted,"Is Organic Coffee Better Than Regular?"
"coffee","youtube",26,20,accepted,"Does Coffee Make You Dizzy? Discover the Truth!"
"coffee","youtube",27,21,accepted,"3 Ways to Brew the Perfect Cup of Coffee"
"coffee","youtube",28,22,accepted,"From Roastery to My Cup: My Coffee Journey"
"coffee","youtube",29,23,accepted,"Beyond Espresso: Exploring Rare Coffee Flavors"
"coffee","youtube",30,24,accepted,"Discover the Mystery of Coffee"
"coffee","youtube",31,24,duplicate,"The Art of Coffee Roasting: From Beans to Brew"
"coffee","youtube",32,25,accepted,"Is Your Morning Coffee Fueling Your Brain?"
"coffee","youtube",33,25,duplicate,"4 Simple Tips to Improve Your Coffee Experience"
"coffee","youtube",34,26,accepted,"Spice Up Your Morning: Exploring My Coffee Ritual"
"coffee","youtube",35,27,accepted,"Dark vs. Light: Exploring the Contrasts in Coffee Varieties"
"coffee","youtube",36,28,accepted,"Mastering Coffee: Tips & Varieties"
"coffee","youtube",37,29,accepted,"Sipping into Science: Coffee's Impact on Brain Function"
"coffee","youtube",38,30,accepted,"Is the World's Most Expensive Coffee Worth It?"
"coffee","youtube",39,31,accepted,"60 Minutes Uncovered: The Science of Coffee Flavor"
"coffee","youtube",40,31,duplicate,"The Art of Awakening: My Coffee Journey"
"coffee","youtube",41,32,accepted,"From Beans to Caffeine: How Coffee Changes Your Mind"
"coffee","youtube",42,32,duplicate,"The Art of Coffee Roasting"
"coffee","youtube",43,33,accepted,"Roasting Myths: The True Power of Coffee"
"coffee","youtube",44,34,accepted,"How Does High Altitude Affect Coffee Flavor?"
"coffee","youtube",45,35,accepted,"The Science Behind Perfect Coffee Brewing"
"coffee","youtube",46,36,accepted,"'The Coffee Journey: My Deconstructed Journey to World's Best Cup"
"coffee","youtube",47,37,accepted,"The Simplest Way to Brew the Perfect Cup of Coffee"
"coffee","youtube",48,38,accepted,"The Surprising Benefits of Coffee"
"coffee","youtube",49,39,accepted,"Harmony of Beans: Exploring the Flavors of Coffee Around the World"
"coffee","youtube",50,40,accepted,"What Is Behind Your Favorite Coffee?"
"coffee","youtube",51,40,duplicate,"4 Coffee Myths Debunked"
"coffee","youtube",52,41,accepted,"I Spent a Weekend Baking Coffee Beans"
"coffee","youtube",53,42,accepted,"Crafting Perfect Grinds: A Coffee Curiosity"
"coffee","youtube",54,42,duplicate,"The Science of Perfect Coffee Grind"
"coffee","youtube",55,43,accepted,"Roastery Revolution: Exploring the Flavor of Authentic Coffee"
"coffee","youtube",56,44,accepted,"Is Your Favorite Coffee Overrated?"
"coffee","youtube",57,45,accepted,"I Explore the Riches of Rare Coffee Beans"
"coffee","youtube",58,46,accepted,"Day in the Life: My Coffee Journey"
"coffee","youtube",59,46,duplicate,"The Surprising Impact of Coffee on Your Heart Health"
"coffee","youtube",60,47,accepted,"Uncovering the Truth Behind Coffee Flavor"
"coffee","youtube",61,48,accepted,"Beyond Bubbles: The Riches and Resilience of Coffee Trade"
"coffee","youtube",62,48,duplicate,"Is Coffee a Miracle Medicine?"
"coffee","youtube",63,49,accepted,"4 Cups of Gratitude: Exploring the World's Most Sip-ple Coffee"
"coffee","youtube",64,49,duplicate,"The Art of Coffee Harmony: My Journey in the Bean Labyrinth"
"coffee","youtube",65,50,accepted,"From Coffee Bean to Cup: Examining the Dark Side"
"coffee","youtube",66,51,accepted,"Roasting Success: Your Guide to Perfect Coffee"
"coffee","youtube",67,52,accepted,"Brewing the Perfect Cup: Coffee Tips from Pro Roasters"
"coffee","youtube",68,53,accepted,"Is Your Coffee Making You Sick?"
"coffee","youtube",69,53,duplicate,"4 Simple Ways to Make Coffee at Home"
"coffee","youtube",70,54,accepted,"From Barista's Hands to My Mouth: My Coffee Journey"
"coffee","youtube",71,55,accepted,"Is Your Coffee Worth the Bidding War?"
"coffee","youtube",72,55,duplicate,"Uncovering the Truth Behind Coffee"
"coffee","youtube",73,55,duplicate,"The Art of Coffee Roasting: From Bean to Cup"
