keyword,category,attempt,accepted_index,outcome,title
"coffee","blog",1,1,accepted,"Exploring the Embrace of Coffee: A Journey of Savor and Sip"
"coffee","blog",2,2,accepted,"What is Your Best Kept Coffee Secret?"
"coffee","blog",3,3,accepted,"How Coffee Shapes Your Daily Decisions"
"coffee","blog",4,4,accepted,"From Dark Roast to Nectar: My Journey with Coffee"
"coffee","blog",5,5,accepted,"The Art of Brewing Better: A Journey through Coffee Tasting"
"coffee","blog",6,6,accepted,"The Perfect Cup: Exploring the World of Coffee"
"coffee","blog",7,7,accepted,"Embracing the Blend: Exploring the Versatility of Coffee in Daily Life"
"coffee","blog",8,8,accepted,"What Makes Your Coffee Experience So Unique?"
"coffee","blog",9,9,accepted,"Beyond the Buzz: Exploring the Mysteries of Coffee"
"coffee","blog",10,10,accepted,"From Bitter Addiction to Blissful Brew: My Journey with Coffee"
"coffee","blog",11,11,accepted,"From Burned-Out Coffee to Blissful Enlightenment"
"coffee","blog",12,12,accepted,"Understanding Coffee: A Journey Through the Beans"
"coffee","blog",13,13,accepted,"Revitalize Your Morning: Discover the Benefits of Coffee"
"coffee","blog",14,14,accepted,"Why Should You Be Worried About Coffee?"
"coffee","blog",15,15,accepted,"5 Reasons Why I Swapped Morning Coffee for Herbs"
"coffee","blog",16,15,duplicate,"From Dark Roast to Golden Hour: My Journey with Coffee"
"coffee","blog",17,16,accepted,"Contrary to Popular Belief: Coffee's Dark Side Reveals Its Nuanced Reality"
"coffee","blog",18,17,accepted,"Discover the Perfect Coffee Cup"
"coffee","blog",19,17,duplicate,"Exploring the Health Benefits of Coffee: From Brewing to Bliss"
"coffee","blog",20,18,accepted,"Why Is Coffee Such a Popularity Among Socks?"
"coffee","blog",21,18,duplicate,"The Art of Brewing Bliss: Exploring the Perfect Cup of Coffee"
"coffee","blog",22,19,accepted,"From Sip to Soul: My Journey with Coffee"
"coffee","blog",23,20,accepted,"Why You Shouldn't Be Afraid of Coffee Afternoon"
"coffee","blog",24,21,accepted,"The Magic in Black Bean Coffee"
"coffee","blog",25,22,accepted,"Why You Lose That Morning Coffee Kick"
"coffee","blog",26,23,accepted,"Why Your Coffee Addiction Could Be Keeping You Up at Night"
"coffee","blog",27,23,duplicate,"Exploring the Ritual of Morning Coffee: A Journey into Brewed Bliss"
"coffee","blog",28,24,accepted,"From Caffeinated Nightmare to Blissful Morning: My Journey with Coffee"
"coffee","blog",29,25,accepted,"Drinking Coffee or Tea: The Daily Choice of Wisdom"
"coffee","blog",30,26,accepted,"Uncover the Best Ways to Brew Coffee"
"coffee","blog",31,26,qc_reject,""
"coffee","blog",32,27,accepted,"Why Is Coffee So Addictive? Discover the Science Behind Its Power"
"coffee","blog",33,28,accepted,"7 Surprising Benefits of Drinking Coffee Daily"
