keyword,category,engine,title,mechanical_pass,kw_literal,judge_score,usable,cached
"shirt","product","cloud","The 3-Second Rule That Makes Any Shirt Fit Perfectly",1,1,85,1,0
"shirt","product","qwen","Versatile Shirt: Style, Comfort, Function",1,1,78,1,0
"shirt","product","egcg","Zero Tolerance Shirt Suck it Up",1,1,25,0,0
"shirt","product","curated","",0,0,0,0,0
"laptop","product","cloud","The 3 Laptop Specs That Matter More Than Speed",1,1,92,1,0
"laptop","product","qwen","Revolutionize Your Workstation with the Ultimate Laptop",1,1,72,1,0
"laptop","product","egcg","Does This Make Laptop Pale Morning",1,1,15,0,0
"laptop","product","curated","",0,0,0,0,0
"productivity","book","cloud","The 2-Hour Tidal Wave",1,0,45,0,0
"productivity","book","qwen","Mastering Productivity: From Jotting to Zen",1,1,75,1,1
"productivity","book","egcg","The Productivity Guide: A Memoir",1,1,42,0,0
"productivity","book","curated","The Silent Productivity Killer Nobody Talks About",1,1,75,1,1
"love","song","cloud","The Last Love Letter I Never Sent",1,1,87,1,0
"love","song","qwen","Code of Endless Embrace",1,0,78,1,1
"love","song","egcg","How Love Changed the Journey Forever",1,1,78,1,0
"love","song","curated","Algorithm of Love",1,1,75,1,1
"startup","book","cloud","The Startup Graveyard: Why 90% Fail and the 10% That Don't",1,1,92,1,0
"startup","book","qwen","Startup's Guide to Uncharted Ventures",1,1,85,1,0
"startup","book","egcg","How to Perfect Startup: The Fast Way",1,1,45,0,0
"startup","book","curated","5 Reasons Why Your Startup Will Fail (And One Way to Avoid It)",1,1,85,1,1
"crypto","article","cloud","The $1.2 Million Typo That Shook the Crypto World",1,1,94,1,0
"crypto","article","qwen","Unleashing Crypto's Power: Exploring the Future of Finance",1,1,85,1,1
"crypto","article","egcg","What Crypto Can Teach Us About Guide",1,1,15,0,0
"crypto","article","curated","Blockchain Beyond Crypto: Practical Applications for Business",1,1,85,1,1
"parenting","book","cloud","Why They Won't Listen Until You Stop Talking",1,0,92,1,0
"parenting","book","qwen","Raising Emotions: A Guide to Parenting Through the Ages",1,1,75,1,1
"parenting","book","egcg","The Overnight Plan to Train Parenting",1,1,12,0,0
"parenting","book","curated","",0,0,0,0,0
"fitness","youtube","cloud","The 15-Minute Fitness Routine That Beats 1 Hour at the Gym",1,1,92,1,0
"fitness","youtube","qwen","Unlock Your Fitness Potential: The Ultimate Guide to Achieving Your Goals",1,1,72,1,0
"fitness","youtube","egcg","What Fitness Can Teach Us About Learning",1,1,78,1,0
"fitness","youtube","curated","Is the Apple Watch a Fitness Game Changer?",1,1,75,1,1
"travel","blog","cloud","The Solo Traveler's Secret to Eating Alone Without Feeling Lonely",1,0,92,1,0
"travel","blog","qwen","From Beaches to Mountains: A Journey Through Life's Adventures",1,0,72,1,0
"travel","blog","egcg","The Rich Art for Mastering Travel",1,1,42,0,0
"travel","blog","curated","I Quit My Six-Figure Job to Travel the World and Regretted Everything",1,1,85,1,1
"cooking","book","cloud","The 30-Minute Pantry: Cooking Without a Recipe",1,1,92,1,0
"cooking","book","qwen","Flavors of the Kitchen: A Culinary Journey",1,0,87,1,1
"cooking","book","egcg","More Than We Cooking Light Falls",1,1,12,0,0
"cooking","book","curated","",0,0,0,0,0
"meditation","podcast","cloud","Why Meditation Fails for Most People (And the 3-Minute Fix)",1,1,92,1,0
"meditation","podcast","qwen","Mindful Moments: Unlocking the Power of Meditation",1,1,92,1,0
"meditation","podcast","egcg","The Surprising Truth About Meditation",1,1,87,1,0
"meditation","podcast","curated","6 Ways to Reduce Anxiety Without Meditation",1,1,45,0,1
"investing","article","cloud","The $1,000-a-Month Investing Mistake You're Probably Making",1,1,92,1,0
"investing","article","qwen","Maximizing Returns: The Ultimate Guide to Smart Investing",1,1,92,1,0
"investing","article","egcg","The Conscious Side of Investing",1,1,78,1,0
"investing","article","curated","The ROI of investing in employee wellness",1,1,85,1,1
"photography","youtube","cloud","The $500 Lens That Changed How I Photograph Everything",1,0,92,1,0
"photography","youtube","qwen","Mastering Photography: Tips, Tricks, and Techniques",1,1,85,1,0
"photography","youtube","egcg","How I Upgrade Photography and Changed My Life",1,1,72,1,0
"photography","youtube","curated","Photography Tips for Beginners: Shooting in Manual Mode",1,1,85,1,1
"music","song","cloud","How Music Shapes the Brain, One Note at a Time",1,1,78,1,0
"music","song","qwen","Echoes of Tomorrow: A Symphony of Dreams",1,0,92,1,0
"music","song","egcg","The Music Song",1,1,15,0,0
"music","song","curated","What Your Taste in Music Says About You",1,1,65,0,1
"AI","article","cloud","The AI Tutor That Passed 1,000 Law Exams — And What It Means for Your Job",1,1,87,1,0
"AI","article","qwen","Revolutionizing Healthcare: How AI is Transforming Medical Diagnostics",1,1,92,1,0
"AI","article","egcg","",0,0,0,0,0
"AI","article","curated","AI Will Never Be Creative: The Human Brain's Irreplaceable Edge",1,1,75,1,1
"remote work","blog","cloud","Why Remote Work Failed for Me (and 3 Fixes That Worked)",1,1,92,1,0
"remote work","blog","qwen","Unlocking the Secrets of Remote Success: How to Thrive in the New Work Paradigm",1,1,85,1,1
"remote work","blog","egcg","8 Rich Way That Will Create Your Remote work",1,1,12,0,0
"remote work","blog","curated","Opinion: Remote Work Is Not for Everyone — And That’s Okay",1,1,85,1,1
"mental health","podcast","cloud","The 3 AM Panic: What Your Brain Is Really Trying to Tell You",1,0,92,1,0
"mental health","podcast","qwen","Unlocking Mental Health: Stories of Recovery and Resilience",1,1,85,1,0
"mental health","podcast","egcg","What If You Could Balance Mental health Without Journey?",1,1,25,0,0
"mental health","podcast","curated","What Happens When Prisons Become Mental Health Facilities",1,1,75,1,1
"gardening","book","cloud","The 5-Minute Gardener: Grow Fresh Herbs Even If You Kill Everything",1,0,92,1,0
"gardening","book","qwen","Roots to Bloom: A Gardener's Journey",1,0,87,1,1
"gardening","book","egcg","Why Gardening Matters More Than Ever for Path",1,1,23,0,0
"gardening","book","curated","",0,0,0,0,0
"coffee","product","cloud","The $4 Coffee Habit That's Quietly Bankrupting You",1,1,92,1,0
"coffee","product","qwen","Revitalize Your Day with the Perfect Cup of Coffee",1,1,85,1,1
"coffee","product","egcg","Quiet Story: How Power Transform My Coffee",1,1,42,0,0
"coffee","product","curated","Why Monday Morning Coffee Should Be Classified as a Scheduled Substance",1,1,85,1,1
"minimalism","book","cloud","The $2,000 a Month Minimalist",1,0,85,1,0
"minimalism","book","qwen","Minimalism: Shedding the Non-Essential for a Happier, More Fulfilling Life",1,1,85,1,1
"minimalism","book","egcg","Why Do Ocean Train Minimalism?",1,1,12,0,0
"minimalism","book","curated","Why Minimalism Isn't About Owning Less But Wanting Less",1,1,85,1,1
"creativity","book","cloud","The Quiet Thief: How Creativity Steals from the Everyday",1,1,87,1,0
"creativity","book","qwen","Unlocking Creativity: The Secret to Innovation",1,1,92,1,0
"creativity","book","egcg","The Creativity Guide: A Memoir",1,1,42,0,0
"creativity","book","curated","5 Morning Habits That Actually Boosted My Creativity",1,1,85,1,1
"sleep","podcast","cloud","You're Not Tired, You're Under-Slept",1,0,92,1,0
"sleep","podcast","qwen","Unlocking Dreams: A Journey to Perfect Sleep",1,1,75,1,1
"sleep","podcast","egcg","The Smart Power of Sleep Will Build Your Science",1,1,42,0,0
"sleep","podcast","curated","Overthinking Sleep",1,1,65,0,1
"negotiation","book","cloud","The 60-Second Negotiation: How to Win Any Deal in One Minute",1,1,85,1,0
"negotiation","book","qwen","Negotiating Power: Strategies for Success in Any Situation",1,0,87,1,0
"negotiation","book","egcg","The Language Negotiation Ever Wonder Why",1,1,25,0,0
"negotiation","book","curated","The Negotiation Playbook: Getting What You Want Without Selling Out",1,1,85,1,1
"writing","book","cloud","The First Draft Is a Lie",1,0,85,1,0
"writing","book","qwen","Unlocking the Magic of Creative Writing",1,1,78,1,0
"writing","book","egcg","The Extraordinary Truth About Writing That Will Train Your Mind",1,1,42,0,0
"writing","book","curated","The Unexpected Benefit of Writing by Hand",1,1,85,1,1
"marketing","article","cloud","The $0 Marketing Tactic That Tripled Our Signups in 30 Days",1,1,95,1,0
"marketing","article","qwen","Marketing 101: The Art of Attracting the Right Customers",1,1,92,1,0
"marketing","article","egcg","How Algorithms Marketing Quiet House",1,1,15,0,0
"marketing","article","curated","Stop Romanticizing Hustle Culture: It's Just Exhaustion with Better Marketing",1,1,85,1,1
"data science","article","cloud","Why Your Data Science Model Will Fail Without This One Step",1,1,92,1,0
