keyword,category,engine,title,mechanical_pass,kw_literal,judge_score,usable,cached
"shirt","product","cloud","The Last Shirt You'll Ever Need to Buy",1,1,92,1,0
"laptop","product","cloud","The Laptop That Keeps Up With Your Ambition",1,1,78,1,0
"productivity","book","cloud","The Productivity Paradox: Why Doing Less Is the Secret to Achieving More",1,1,95,1,0
"love","song","cloud","The Gravity of Your Heartbeat",1,0,87,1,0
"startup","book","cloud","The Startup Graveyard: Why 90% Fail and the 10% That Don't",1,1,92,1,1
"crypto","article","cloud","The 7 Crypto Habits That Could Double Your Portfolio (Or Destroy It)",1,1,92,1,0
"parenting","book","cloud","The Parenting Paradox: Why Being Too Good Makes Life Harder",1,1,92,1,0
"fitness","youtube","cloud","The 5-Second Rule That Kills Your Fitness Excuses",1,1,92,1,0
"travel","blog","cloud","The $2,000 Mistake I Made in Tokyo (and How to Avoid It)",1,0,95,1,0
"cooking","book","cloud","Burn the Recipe, Keep the Method",1,0,87,1,0
"meditation","podcast","cloud","The Silence Between Thoughts",1,0,92,1,0
"investing","article","cloud","The Quiet Fortune: Why Nobody's Talking About Dividend Growth",1,0,87,1,0
"photography","youtube","cloud","The 5-Minute Photography Rule That Changed Everything",1,1,92,1,0
"music","song","cloud","Music in the Key of Static",1,1,85,1,0
"AI","article","cloud","The AI Paradox: Why Smarter Machines Are Making Us Dumber",1,1,92,1,0
"remote work","blog","cloud","The Hidden Cost of Remote Work Nobody Talks About",1,1,85,1,1
"mental health","podcast","cloud","Your Brain Is Lying to You About Your Mental Health",1,1,92,1,0
"gardening","book","cloud","The $2.87 Tomato: Why Your Garden Will Never Feed You",1,0,92,1,0
"coffee","product","cloud","The Last Cup: A Barista's Confession",1,0,85,1,0
"minimalism","book","cloud","The Art of Less: A Minimalist's Guide to Living With More",1,0,92,1,0
"creativity","book","cloud","The Quiet Eruption: How Still Minds Produce the Loudest Ideas",1,0,92,1,0
"sleep","podcast","cloud","Your Brain on Sleep: The 3:00 AM Secret Your Body Keeps",1,1,87,1,0
"negotiation","book","cloud","The Silent Advantage: Why Listening Wins More Than Loud Arguments",1,0,92,1,0
"writing","book","cloud","The Sound of a Sentence: Why Writing Is More Than Words",1,1,92,1,0
"marketing","article","cloud","The $1.2 Million Mistake: How One Marketing Blunder Cost a Startup Everything",1,1,92,1,0
"data science","article","cloud","The Data Scientist's Paradox: Why More Data Means Less Insight",1,1,92,1,0
"blockchain","article","cloud","The Blockchain Paradox: Why Decentralization Makes It More Centralized Than You Think",1,1,92,1,0
"electric cars","youtube","cloud","Why Electric Cars Are About to Change Everything (Again)",1,1,92,1,0
"space exploration","article","cloud","The $11 Billion Telescope That Sees the Universe's First Light",1,0,92,1,0
"wine","blog","cloud","The $700 Wine That Tastes Like Nothing",1,1,92,1,0
"dancing","youtube","cloud","I Danced 10 Hours Straight — Here's What It Did to My Brain",1,0,92,1,0
"podcasting","blog","cloud","Why Your Podcast Isn't Growing (and the 3 Metrics That Actually Matter)",1,0,92,1,0
"freelancing","blog","cloud","The $1.2 Million Typo: How One Freelancing Mistake Cost Me Everything",1,1,92,1,0
"vegan","blog","cloud","Why Veganism Is Not About Being Perfect",1,0,92,1,0
"yoga","youtube","cloud","I Did Yoga Every Day for 30 Days",1,1,85,1,0
"gaming","youtube","cloud","I Lost 1,000 Games So You Don't Have To",1,0,92,1,0
"digital nomad","blog","cloud","The $0 Office: How I Work From a Beach in Bali for Less Than a Coffee Shop",1,0,92,1,0
"sourdough bread","blog","cloud","Why Your Sourdough Bread Is Flat — and 3 Fixes That Actually Work",1,1,92,1,0
"intermittent fasting","book","cloud","The 16:8 Secret: How Intermittent Fasting Rewires Your Hunger",1,1,92,1,0
"bitcoin","article","cloud","Bitcoin's Next Halving: The $10 Trillion Question Nobody's Asking",1,1,87,1,0
"tennis","youtube","cloud","The 47-Minute Tennis Match That Broke a Record",1,1,92,1,0
"skincare","blog","cloud","7 Skincare Myths That Are Damaging Your Skin Barrier",1,1,92,1,0
"virtual reality","youtube","cloud","I Tested Virtual Reality for 30 Days — Here's What It Did to My Brain",1,1,95,1,0
"board games","product","cloud","The Board Game That Ruined My Marriage (and Saved It)",1,1,92,1,0
"tea","product","cloud","The Quiet Ritual: Why a Cup of Tea Is the Last True Pause",1,1,92,1,0
"solo travel","blog","cloud","I Traveled Alone for 30 Days and Came Back Different",1,0,92,1,0
"home office","product","cloud","Why Your Home Office Is Killing Your Focus (And Fixing It Takes 5 Minutes)",1,1,92,1,0
"jazz","song","cloud","The Blue Note That Never Fades",1,0,87,1,0
"ethical fashion","blog","cloud","The Hidden Cost of a $5 T-Shirt: What Ethical Fashion Really Means",1,1,92,1,0
"climate change","article","cloud","The Invisible Flood: How Rising Seas Are Redrawing Our Maps",1,0,92,1,0
