run,batch,title,exact_new,engine_new,exact_union,engine_union
1,1,"From Bean to Cup: The Unconventional Journey of Coffee",1,1,1,1
1,1,"Are You Drinking the Unsustainable Coffee?",1,1,2,2
1,1,"20 Minutes Brewing Perfect Coffee",1,1,3,3
1,1,"From Coffee Bean to Cup: A Personal Journey to the Roaster's Kitchen",1,1,4,4
1,1,"The Dark Side of Coffee: A Surprising Truth",1,1,5,5
1,1,"The Science of Coffee",1,1,6,6
1,1,"Explore the Rich History of Coffee Beans",1,1,7,7
1,1,"What's Behind Coffee's Golden Future?",1,1,8,8
1,1,"4 Simple Ways to Brew Perfect Coffee",1,1,9,9
1,1,"Revolutionary Coffee: Brewing the Earth's Healthiest Beans",1,1,10,10
1,1,"From Beans to Cup: The Coffee Journey",1,1,11,11
1,1,"Beyond the Beans: The Coffee Journey",1,1,12,12
1,1,"Is Your Morning Coffee Changing the Climate?",1,1,13,13
1,1,"The Artisan Coffee Roaster's Journey: From Bean to Cup",1,1,14,14
1,1,"From Solo Coffee Maker to Brewmaster: My Journey",1,1,15,15
1,1,"Contrast Coffee: Brewing from Waste",1,1,16,16
1,1,"Crafting Perfect Grind: Coffee Tips & Tricks",1,1,17,17
1,1,"How Coffee Affects Your Daily Mood",1,1,18,18
1,1,"Is the Perfect Cup of Coffee Worth the Price?",1,1,19,19
1,1,"8 Simple Steps to Improve Your Coffee Experience",1,1,20,20
1,1,"From Roaster to Cup: My Day in Coffee Processing",1,1,21,21
1,1,"Mastering Coffee: Tips and Drinks",1,1,22,22
1,1,"Crafting the Perfect Cup: Coffee's Journey from Plant to Table",1,1,23,23
1,1,"Should You Invest in Rare Coffee Beans?",1,1,24,24
1,1,"4 Cups of Creativity: Exploring the Flavor of Coffee",1,1,25,25
1,1,"I Brought Mythical Coffee to Battle",1,1,26,26
1,1,"Contrasting Hot vs. Cold: Coffee's Hidden Preferences",1,1,27,27
1,1,"Is Coffee Killing Us?",1,1,28,28
1,1,"The Power of Coffee: Unveiling Its Impact",1,1,29,29
1,1,"Is Fair Trade Coffee Worth Its Price?",1,1,30,30
1,1,"6 Simple Tips to Improve Your Coffee Experience",1,1,31,31
1,1,"I Decided to Quit Coffee After My Worst Day",1,1,32,32
1,1,"Grinding the Art: A Crafty Approach to Coffee",1,1,33,33
1,1,"Roasting Coffee: From Beans to Brewed Bliss",1,1,34,34
1,1,"Your Daily Cup of Coffee: An Experience",1,1,35,35
1,1,"Delve Deep into Coffee",1,1,36,36
1,1,"Discover the Unseen Origins of Your Daily Coffee",1,1,37,37
