keyword,category,attempt,accepted_index,outcome,title
"coffee","blog",1,1,accepted,"Morning Ritual: Why Coffee is Still My Cup of Tea"
"coffee","blog",2,2,accepted,"Is Your Morning Routine Missing Something? The Magic of Coffee"
"coffee","blog",3,3,accepted,"Exploring the Effects of Coffee: From Enlightenment to Afternoon Naps"
"coffee","blog",4,4,accepted,"The Morning Ritual That Reshaped My Day: Embracing Coffee with a Twist"
"coffee","blog",5,4,qc_reject,""
"coffee","blog",6,4,duplicate,"Exploring the Coffee Habit"
"coffee","blog",7,4,duplicate,"Exploring the Rituals of Coffee: From Brewing to Bittersweet"
"coffee","blog",8,5,accepted,"What's Your Favorite Coffee Ritual?"
"coffee","blog",9,6,accepted,"How to Brew the Perfect Cup of Coffee at Home"
"coffee","blog",10,7,accepted,"My Unlikely Journey from Coffee Addiction to Brew-Free Bliss"
"coffee","blog",11,8,accepted,"From Dark Roast to Lighter Thoughts: A Coffee Journey"
"coffee","blog",12,8,duplicate,"Exploring the World of Coffee"
"coffee","blog",13,8,duplicate,"Exploring the Benefits of Brewing Better Coffee"
"coffee","blog",14,9,accepted,"Is Your Coffee Morning Keeping You Up at Night?"
"coffee","blog",15,10,accepted,"An Eco-Friendly Guide to Brewing Sustainable Coffee"
"coffee","blog",16,11,accepted,"The Awakening: My Journey with Coffee"
"coffee","blog",17,11,duplicate,"From Dark Roast to Bright: A Journey Through Coffee Varieties"
"coffee","blog",18,11,duplicate,"Morning Ritual or Habit? Coffee Explained"
"coffee","blog",19,11,duplicate,"Exploring the Benefits of Coffee in Your Daily Routine"
"coffee","blog",20,12,accepted,"Is Your Coffee Making You Stressed or Calm? Unravel the Mysteries"
"coffee","blog",21,13,accepted,"5 Reasons Why You Should Never Drink Coffee Again"
"coffee","blog",22,13,duplicate,"From Dark Roast to Morning Muse: My Coffee Journey"
"coffee","blog",23,14,accepted,"Contrast Coffee: Brewing a Sip of Innovation"
"coffee","blog",24,15,accepted,"Beyond the Cup: Exploring the Roast of Coffee"
"coffee","blog",25,16,accepted,"Revitalize Your Day with the Power of Coffee: A Beginner's Guide"
"coffee","blog",26,17,accepted,"Why You Should Brew a Different Kind of Coffee"
"coffee","blog",27,17,duplicate,"Exploring the Emotions Behind My Morning Cup of Coffee"
"coffee","blog",28,18,accepted,"From Espresso to Decaffeination: My Coffee Journey"
"coffee","blog",29,19,accepted,"Why a Caffeine-Free Lifestyle Could Be Your Next Coffee Adventure"
"coffee","blog",30,20,accepted,"The Health Benefits of Daily Coffee Consumption"
"coffee","blog",31,21,accepted,"Why Mindful Coffee Sips Can Enhance Your Daily Focus"
"coffee","blog",32,22,accepted,"What Is the Best Coffee Brewing Method for Your Morning Routine?"
"coffee","blog",33,23,accepted,"The Impact of Daily Coffee on Mental Alertness"
"coffee","blog",34,23,duplicate,"From Dark Roast to Morning Magic: My Personal Coffee Journey"
"coffee","blog",35,24,accepted,"Is Your Coffee Keeping You Up at Night? A Cup of Sleepless Nights."
"coffee","blog",36,25,accepted,"Why Does Morning Coffee Matter?"
"coffee","blog",37,25,duplicate,"Exploring the Zen of Coffee: A Journey Through Rituals and Bliss"
"coffee","blog",38,26,accepted,"Why Is Coffee Essential for Your Day?"
"coffee","blog",39,27,accepted,"The Science Behind The Buzz: Exploring Coffee's Impact On Your Bod"
"coffee","blog",40,28,accepted,"My Journey with Coffee: From Morning Ritual to Conscious Choice"
"remote work","blog",1,1,accepted,"Remote Work's Future: Opportunities and Challenges Ahead"
"remote work","blog",2,2,accepted,"Is Remote Work the New Normal?"
"remote work","blog",3,3,accepted,"5 Benefits of Remote Work for Productivity"
"remote work","blog",4,4,accepted,"From Full-Time Desk to Remote: My Journey and Admissions"
"remote work","blog",5,5,accepted,"Flexible Focus: How Remote Work Can Enhance Productivity"
"remote work","blog",6,6,accepted,"Remote Work: The New Normal"
"remote work","blog",7,7,accepted,"Optimizing Remote Work: Success Strategies for Modern Flexibility"
"remote work","blog",8,8,accepted,"How to Succeed in Remote Work Despite the Odds"
"remote work","blog",9,9,accepted,"5 Reasons Why Remote Work Is Here to Stay"
"remote work","blog",10,10,accepted,"From Freelancing to Remote Success: My Journey to Work from Home"
"remote work","blog",11,10,duplicate,"Is Remote Work the New Normal? Unveiling Its Hidden Costs"
"remote work","blog",12,11,accepted,"thrive on remote work"
"remote work","blog",13,11,duplicate,"Remote Work: Uncharted Territory of Productivity"
"remote work","blog",14,12,accepted,"Why Remote Work Might Not Be the Perfect Fit for Everyone"
"remote work","blog",15,12,duplicate,"Remote Work: The Future of Work?"
"remote work","blog",16,13,accepted,"From Deskless to Doorless: My Remote Work Journey"
"remote work","blog",17,13,duplicate,"Remote Work: Not Just for Flexibility, But Flexibility Plus"
"remote work","blog",18,14,accepted,"Finding Success: Thriving Remote"
"remote work","blog",19,14,duplicate,"Remote Work: The New Normal or Just a Trend?"
"remote work","blog",20,14,duplicate,"Is Remote Work the Future? Or Just a Passing Trend?"
"remote work","blog",21,15,accepted,"3 Reasons Why Remote Work Can Be a Win for Both Employers and Employees"
"remote work","blog",22,16,accepted,"From Remote Work Enthusiast to Nomadic Nerd: My Journey in the New Normal"
"remote work","blog",23,16,duplicate,"Remote Work: The Future of Flexibility, Not a Fixation"
"remote work","blog",24,16,duplicate,"Remote Work: Pros & Cons"
"remote work","blog",25,17,accepted,"Rediscovering the Magic of Remote Work"
"remote work","blog",26,17,duplicate,"Is Remote Work the Future, or Just Temporary?"
"remote work","blog",27,18,accepted,"Finding Balance: 7 Tips for Successful Remote Work"
"remote work","blog",28,18,duplicate,"Remote Work: From Freelance Dreamer to Office Nomad"
"remote work","blog",29,19,accepted,"Transitioning to Remote Work: Pros, Cons, and Future Outlook"
"remote work","blog",30,19,duplicate,"Remote Work: Pros & Cons"
"remote work","blog",31,20,accepted,"Rethinking Remote Work: Benefits, Challenges, and Future Outlook"
"remote work","blog",32,20,duplicate,"Is Remote Work the Future We Need?"
"remote work","blog",33,20,duplicate,"Remote Work: A Modern Advantage or Temporary Faux Pas?"
"remote work","blog",34,21,accepted,"Whispers of the Digital Age: My Journey into Remote Work"
"remote work","blog",35,21,duplicate,"Remote Work: Niche or Overhyped?"
"remote work","blog",36,22,accepted,"Pros & Cons of Remote Work"
"remote work","blog",37,23,accepted,"The Pros and Cons of Remote Work: Navigating the Future of Employment"
"remote work","blog",38,23,duplicate,"Is Remote Work the Future or Just Another Ditch?"
"remote work","blog",39,23,duplicate,"5 Benefits of Remote Work for Increased Productivity"
"remote work","blog",40,23,duplicate,"From Full-Time Hub to Temporary Remote: My Journey"
"sourdough bread","article",1,1,accepted,"Crafting Perfect Sourdough: A Homemade Bread Journey"
"sourdough bread","article",2,2,accepted,"How to Create the Perfect Sourdough Loaf at Home"
"sourdough bread","article",3,3,accepted,"Crafting Classic Sourdough Bread at Home"
"sourdough bread","article",4,4,accepted,"Crafting Flourishing Sourdough Loaves: A Baker's Journey"
"sourdough bread","article",5,5,accepted,"Rediscovering the Magic of Traditional Sourdough"
"sourdough bread","article",6,6,accepted,"Mastering Traditional Sourdough"
"sourdough bread","article",7,7,accepted,"Crafting the Perfect Dough: Secrets to Delicious Sourdough Bread"
