category,title,words,has_digit,has_colon,in_word_band,shape_ok
blog,"The Magic in Every Cup: Exploring the Mystique of Coffee",10,0,1,1,1
blog,"Embracing the Morning: How Coffee Shapes Your Day",8,0,1,1,1
blog,"What is Your Favorite Way to Start the Day? A Coffee or Tea?",13,0,0,0,1
blog,"Ten Reasons Why Coffee Is Essential for Morning Energy",9,0,0,1,1
blog,"Crafting a Better Cup: How to Optimize Coffee at Home",10,0,1,1,1
blog,"6 Reasons Why You're Craving Coffee Right This Minute",9,1,0,1,1
blog,"Should You Switch to Organic Coffee for Better Well-being?",9,0,0,1,1
blog,"Journey to a Coffee-Free Morning: My Personal Battle with Caffeinated Awakening",11,0,1,1,1
book,"What is Remote Work in 2023?",6,1,0,1,1
book,"What Is the Future of Remote Work?",7,0,0,1,1
book,"Number 25: 'Remote Revolution: Shaping the Future of Work",9,1,1,0,1
book,"Where Does Remote Work Lead Us Next?",7,0,0,1,1
book,"Remote Renaissance: How Work Shifts to the Digital Canvas",9,0,1,0,1
book,"Remote Revolution: Power Shift in the Modern Workplace",8,0,1,0,1
book,"Remote's Awakening: My Journey to a New Reality",8,0,1,0,1
book,"Whispers in the Virtual Closet: My Journey to Remote",9,0,1,0,1
poem,"What Makes Sourdough Bread Distinctively Yeasty?",6,0,0,1,1
poem,"Kneading Life's Simple Joy: Sourdough Delights",6,0,1,1,0
poem,"What Is the Perfect Sourdough Toxin?",6,0,0,1,1
poem,"How Long Does It Take for Sourdough Yeast to Rise?",10,0,0,0,1
poem,"3/10 The Art of Sourdough Crafting",6,1,0,1,0
poem,"The Art of Crafting Sourdough Bread",6,0,0,1,1
poem,"The Sourdough's Morning Awakening",4,0,0,1,1
poem,"The Wholesome Rise of Ancient Sourdough",6,0,0,1,1
product,"Jazzy Morning Brew",3,0,0,1,1
product,"Caffeine Bliss",2,0,0,1,1
product,"Caffeine Chronicles",2,0,0,1,1
product,"Jubilant Sips",2,0,0,1,1
product,"Flavorful Jolt",2,0,0,1,1
product,"First Cup Energy",3,0,0,1,1
product,"Caffeinate Nexus",2,0,0,1,1
product,"Caffeinate Bliss",2,0,0,1,1
product,"Perfect Sourdough Rise",3,0,0,1,1
product,"Perfect Rise Sourdough",3,0,0,1,1
product,"Fresh Sourdough Bliss",3,0,0,1,1
product,"Sourdough Rise",2,0,0,1,1
product,"Whitewheat Sourdough",2,0,0,1,1
product,"Fresh Loaf Sourdough",3,0,0,1,1
product,"Sourdough Spirit",2,0,0,1,1
product,"Origami Sourdough",2,0,0,1,1
song,"Why Does Coffee Make My Morning Feel So Bright?",9,0,0,0,1
song,"Morning Ritual: Nostalgic Coffee Mornings",5,0,1,1,0
song,"Morning Chill: Coffee Dreams",4,0,1,1,0
song,"Is Coffee the New Silk Road?",6,0,0,1,1
song,"Why Morning Coffee Should Be Revived",6,0,0,1,1
song,"Seven Coffees to Keep You Jangled",6,0,0,1,1
song,"The Awakening of a Coffee Nostalgia",6,0,0,1,1
youtube,"4 Simple Tips for Remote Work Success",7,1,0,1,1
youtube,"Is Remote Work the Future of Work?",7,0,0,1,1
youtube,"4 Steps to Navigate Remote Work with Ease",8,1,0,1,1
youtube,"From Desktop to Deskless: My Journey in Remote Work",9,0,1,1,1
youtube,"Remote Work: The Path to Work-Life Balance or Work-Overload?",9,0,1,1,1
youtube,"Remote Revolution: The Future of Workstyle",6,0,1,1,1
youtube,"Maximizing Productivity from Home: Tips for Remote Success",8,0,1,1,1
youtube,"Are You Ready for the Future of Work? Remote, Hybrid, or Back to Office?",14,0,0,0,1
